movie,link,money
Mulholland Drive,/title/tt0166924/?ref_=bo_se_r_1,"
$20,271,953
"
In the Mood for Love,/title/tt0118694/?ref_=bo_se_r_1,"
$14,204,632
"
The Tree of Life,/title/tt0478304/?ref_=bo_se_r_1,"
$58,409,247
"
Yi Yi: A One and a Two,/title/tt0244316/?ref_=bo_se_r_1,"
$1,196,218
"
Goodbye to Language,/title/tt2400275/?ref_=bo_se_r_1,"
$567,868
"
The White Meadows,/title/tt1149362/?ref_=bo_se_r_1,"
$19,319,671
"
Night Across the Street,/title/tt1876360/?ref_=bo_se_r_1,"
$16,778
"
Certified Copy,/title/tt1020773/?ref_=bo_se_r_1,"
$7,736,632
"
Sparrow,/title/tt2873282/?ref_=bo_se_r_1,"
$151,572,634
"
Fados,/title/tt1056422/?ref_=bo_se_r_1,"
$574,044
"
Eternal Sunshine of the Spotless Mind,/title/tt0338013/?ref_=bo_se_r_1,"
$74,036,715
"
Syndromes and a Century,/title/tt0477731/?ref_=bo_se_r_1,"
$70,649
"
Spirited Away,/title/tt0245429/?ref_=bo_se_r_1,"
$357,287,850
"
The Act of Killing,/title/tt2375605/?ref_=bo_se_r_1,"
$726,324
"
The Grand Budapest Hotel,/title/tt2278388/?ref_=bo_se_r_1,"
$174,563,280
"
The New World,/title/tt0402399/?ref_=bo_se_r_1,"
$49,334,775
"
The World,/title/tt0446029/?ref_=bo_se_r_1,"
$51,580,946
"
Elephant,/title/tt0363589/?ref_=bo_se_r_1,"
$10,012,022
"
Zero Dark Thirty,/title/tt1790885/?ref_=bo_se_r_1,"
$132,820,716
"
A History of Violence,/title/tt0399146/?ref_=bo_se_r_1,"
$61,385,065
"
Stories We Tell,/title/tt2366450/?ref_=bo_se_r_1,"
$2,641,053
"
Casino Royale,/title/tt0381061/?ref_=bo_se_r_1,"
$616,505,162
"
Tabu,/title/tt0787523/?ref_=bo_se_r_1,"
$691,733
"
Snow White,/title/tt6208148/?ref_=bo_se_r_1,"
                        
                            
                                –
                            
                            
                        
                    "
Frozen River,/title/tt0978759/?ref_=bo_se_r_1,"
$5,457,664
"
Gosford Park,/title/tt0280707/?ref_=bo_se_r_1,"
$87,754,044
"
Inception,/title/tt1375666/?ref_=bo_se_r_1,"
$839,030,630
"
Pan's Labyrinth,/title/tt0457430/?ref_=bo_se_r_1,"
$83,862,032
"
Caché,/title/tt0387898/?ref_=bo_se_r_1,"
$16,197,824
"
Grizzly Man,/title/tt0427312/?ref_=bo_se_r_1,"
$4,064,179
"
"4 Months, 3 Weeks & 2 Days",/title/tt1032846/?ref_=bo_se_r_1,"
$10,174,839
"
Holy Motors,/title/tt2076220/?ref_=bo_se_r_1,"
$1,954,125
"
The Last of the Unjust,/title/tt2340784/?ref_=bo_se_r_1,"
$63,136
"
There Will Be Blood,/title/tt0469494/?ref_=bo_se_r_1,"
$76,182,388
"
The Piano Teacher,/title/tt0254686/?ref_=bo_se_r_1,"
$6,766,589
"
Margaret,/title/tt3777860/?ref_=bo_se_r_1,"
$10,107
"
American Psycho,/title/tt0144084/?ref_=bo_se_r_1,"
$34,266,564
"
Lourdes,/title/tt1405809/?ref_=bo_se_r_1,"
$2,947,270
"
Red Road,/title/tt0471030/?ref_=bo_se_r_1,"
$1,128,345
"
Boyhood,/title/tt1065073/?ref_=bo_se_r_1,"
$48,137,666
"
Tony Manero,/title/tt1223975/?ref_=bo_se_r_1,"
$687,406
"
No Country For Old Men,/title/tt0477348/?ref_=bo_se_r_1,"
$171,627,740
"
A Separation,/title/tt1832382/?ref_=bo_se_r_1,"
$22,926,076
"
Finding Nemo,/title/tt0266543/?ref_=bo_se_r_1,"
$941,637,960
"
Hero,/title/tt0299977/?ref_=bo_se_r_1,"
$177,395,557
"
The Wolf of Wall Street,/title/tt0993846/?ref_=bo_se_r_1,"
$406,878,233
"
Mother,/title/tt5109784/?ref_=bo_se_r_1,"
$44,516,999
"
The Bourne Ultimatum,/title/tt0440963/?ref_=bo_se_r_1,"
$444,100,035
"
Traffic,/title/tt0181865/?ref_=bo_se_r_1,"
$207,515,725
"
These Encounters of Theirs,/title/tt0815227/?ref_=bo_se_r_1,"
$2,895
"
Vincere,/title/tt1156173/?ref_=bo_se_r_1,"
$5,701,481
"
Le quattro volte,/title/tt1646975/?ref_=bo_se_r_1,"
$701,334
"
The Profession of Arms,/title/tt0245276/?ref_=bo_se_r_1,"
$55,926
"
Sangue,/title/tt0086979/?ref_=bo_se_r_1,"
$4,229,114
"
Terra,/title/tt5362988/?ref_=bo_se_r_1,"
$44,202,682
"
Oh! Man,/title/tt1326954/?ref_=bo_se_r_1,"
$113,792
"
"Synecdoche, New York",/title/tt0383028/?ref_=bo_se_r_1,"
$4,658,401
"
Black Swan,/title/tt0947798/?ref_=bo_se_r_1,"
$329,398,046
"
The Comedy,/title/tt2112293/?ref_=bo_se_r_1,"
$41,113
"
Melancholia,/title/tt1527186/?ref_=bo_se_r_1,"
$17,505,548
"
Inglourious Basterds,/title/tt0361748/?ref_=bo_se_r_1,"
$321,457,747
"
Inside Llewyn Davis,/title/tt2042568/?ref_=bo_se_r_1,"
$32,960,249
"
Only Lovers Left Alive,/title/tt1714915/?ref_=bo_se_r_1,"
$7,609,187
"
The Congress,/title/tt1821641/?ref_=bo_se_r_1,"
$758,754
"
